축제_문화행사명,소재지,개최시기,행사내용,데이터기준일,,,,,,,
배내골고로쇠축제,경상남도 양산시 원동면 배내로 431,매년 3월 초,"풍년 감사제례, 민속놀이, 고로쇠 시음회, 직판장 운영 등",2022-09-07,,,,,,,
원동청정미나리축제,경상남도 양산시 원동면 일원(함포_선장_내포_영포),매년 3월 초,"미나리 시식 판매, 특산물 판매장 운영",2022-09-07,,,,,,,
원동매화축제,경상남도 양산시 원동면 원리 857-18,매년 3월 중순,"퍼포먼스 공연, 음악회, 전시체험 프로그램, 먹거리장터 등",2022-09-07,,,,,,,
서운암 들꽃축제(전국문학인 꽃축제),경상남도 양산시 하북면 지산리 611(통도사 서운암),매년 4월 중순,"들꽃사진전, 깃발시화전, 꽃문학상 시상식, 백일장, 축하공연 등",2022-09-07,,,,,,,
양상웅상회야제,경상남도 양산시 배움터길 60-19,매년 5월,"축하쇼, 가요제, 불꽃놀이, 전시 및 체험전 등",2022-09-07,,,,,,,
양산삽량문화축전,경상남도 양산시 양산대로 849(양산천둔치 및 양산종합운동장),매년 10월 초 (3일간),"개_폐막식, 불꽃쇼, 체험존, 전통놀이, 소상공인전, 콘서트 등",2022-09-07,,,,,,,
영축문화축제 개산대재,경상남도 양산시 하북면 통도사로 108(통도사),매년 음력 9월9일,"사생대회, 장터, 전시회, 괘불 특별전, 불공의식, 점등식 등",2022-09-07,,,,,,,
양산차문화축제,경상남도 양산시 하북면 신평중앙길 24(통도문화예술거리),매년 10월 중순,"차 시음, 찻사발 전시 판매, 문화행사 등",2022-09-07,,,,,,,
배내골사과축제,경상남도 양산시 원동면 배내로 431,매년 11월,"사과전시, 판매행사, 사과깍기 대회, 노래자랑, 사물놀이 등",2022-09-07,,,,,,,
배내골펜션축제,경상남도 양산시 원동면 배내로 431,매년 11월,"개_폐막행사, 먹거리장터, 공연 및 이벤트, 특산물 판매 등",2022-09-07,,,,,,,
,,,,,,,,,,,
