시군명,소공원_개소,소공원_면적 ,어린이공원_개소 ,어린이공원_면적,근린공원_개소,근린공원_면적,역사공원_개소,역사공원_면적,문화공원_개소,문화공원_면적,수변공원_개소,수변공원_면적,묘지공원_개소,묘지공원_면적,체육공원_개소,체육공원_면적
창원시,119,284387,239,606045,85,12447331,2,30637,13,374677,5,125745,3,3337183,10,785136
진주시,30,72795,66,145978,48,6594836,5,243628,7,181733,7,137607,  ,  ,1,17629
통영시,18,41809,15,50250,7,2902888,1,8593,2,159480,2,70591,  ,  ,1,250287
사천시,46,113468,28,82333,32,1354365,3,273563,7,152203,1,9782,  ,  ,1,13635
김해시,79,209918,168,355546,65,4310292,2,123947,2,62490,7,65931,  ,  ,4,372340
밀양시,23,87935,27,55576,17,861994,3,93239,1,7967,1,58000,  ,  ,2,155000
거제시,32,103097,42,89067,25,7213264,3,125862,2,73808,3,38640,  ,  ,2,156187
양산시,39,105483,107,258811,42,2536781,5,170004,2,106096,10,49517,1,174776,1,98997
의령군,14,30086,5,13377,7,1228959,1,32108,3,204790,  ,  ,  ,  ,2,57917
함안군,11,25260,7,12312,8,753080,3,17966,3,70938,  ,  ,  ,  ,2,105004
창녕군,17,69811,10,18841,16,582432,  ,  ,  ,  ,4,174202,  ,  ,1,24855
고성군,14,50876,3,16970,7,909806,1,52515,  ,  ,5,179461,  ,  ,  ,  
남해군,5,9697,1,1500,3,335407,1,89401,2,27814,1,40755,  ,  ,  ,  
하동군,11,46091,3,16314,6,502674,2,9837,1,32559,7,370744,  ,  ,4,355508
산청군,8,16603,1,2978,5,298396,,  ,4,63860,2,104904,  ,  ,2,42931
함양군,13,24573,2,7384,5,541608,3,55357,4,320631,2,3325,  ,  ,  ,  
거창군,4,7922,11,28665,6,347992,,  ,1,16660,2,6358,  ,  ,1,11425
합천군,,,,,1,158480,1,46703,  ,  ,2,102447,  ,  ,  ,  
